Company,AKAM,AMZN,AVGO,BABA,BIDU,CRM,DOCN,FSLY,GOOGL,IBM,MDB,MSFT,NET,ORCL,RXT,SAP,SNOW,TCEHY,TWLO,WDAY
AKAM,1.0,0.47284421466219323,0.578555449430931,-0.44915308681012045,0.21223134931098092,-0.021149688272891452,-0.6468071897415247,-0.6381025424159165,-0.609511482551199,0.8818952832441536,0.9410502803611087,0.1274009205820002,0.14903863464698444,0.7598122035944791,-0.3694973648356667,0.8705197905736776,0.7475365529271673,-0.6105758363714755,0.14735669299094803,0.7823369858351514
AMZN,0.47284421466219323,1.0,0.3869320989283952,0.8576163012266897,0.8182455655918152,0.9085867722095212,0.7889844882351381,0.77872167891583,0.6142505645973997,0.25912679651471704,0.6097473296573964,0.8490447694079398,0.3837022260626214,0.4561841938688943,0.8095700871943079,0.4472375426597341,0.5453566622560542,0.6973288084869987,0.8845481606537109,0.8453464048571433
AVGO,0.578555449430931,0.3869320989283952,1.0,0.11079435771129975,0.679572651093399,0.2823591752354419,-0.12103185887480526,-0.21767411022320252,-0.28480535856710143,0.4434814713150642,0.6694458336499002,0.25472124475981045,0.7757344393823682,0.4387754280265291,-0.13835724423390805,0.565352207067315,0.8552567182397549,-0.32320671022662434,0.39028035932292987,0.3795569914380912
BABA,-0.44915308681012045,0.8576163012266897,0.11079435771129975,1.0,0.734293570477419,0.9597204331809208,0.9843543905912913,0.9574105288171807,0.896102652922081,-0.09173471548507948,0.24344520012053547,0.9632810484685199,0.7345014206667997,0.27725221516036386,0.9247061504390578,-0.3504997749519628,-0.19428308752991078,0.776708700060862,0.8950080245034706,0.7702437865344511
BIDU,0.21223134931098092,0.8182455655918152,0.679572651093399,0.734293570477419,1.0,0.7407492678383127,0.7449626374081217,0.5253333248599852,0.40075365549486325,-0.3011843370429289,0.4608109855862258,0.7246016188913843,0.7413950998914368,-0.29399941180051153,0.3179561986159095,0.15649391694159231,0.6420455768003275,0.2912331995412668,0.8367242511243713,0.2706403969050452
CRM,-0.021149688272891452,0.9085867722095212,0.2823591752354419,0.9597204331809208,0.7407492678383127,1.0,0.9420915903136986,0.9117520283088224,0.8220650794855874,0.1988410346515837,0.4787561735414797,0.9856006447591058,0.7281293107694553,0.3802752449334707,0.9393625683376801,0.07786526293395582,0.21084183297730907,0.7556775253224933,0.9621745510339595,0.8666042169468917
DOCN,-0.6468071897415247,0.7889844882351381,-0.12103185887480526,0.9843543905912913,0.7449626374081217,0.9420915903136986,1.0,0.9540394667374335,0.901589438116056,-0.09729403700794713,0.2040929147427953,0.9528101527170908,0.6098312995867188,0.17484694787227045,0.9067495969774493,-0.3845696015973811,-0.3798545180660119,0.7620329325053272,0.9018500550616856,0.7344622580696856
FSLY,-0.6381025424159165,0.77872167891583,-0.21767411022320252,0.9574105288171807,0.5253333248599852,0.9117520283088224,0.9540394667374335,1.0,0.965953847925191,-0.22287668040487335,0.01902376323763024,0.9055604727625008,0.5138384988099128,0.23996638850273247,0.9461138454189781,-0.4684433373574826,-0.46350383784223687,0.8736396355612706,0.7944652737838657,0.6382746263535325
GOOGL,-0.609511482551199,0.6142505645973997,-0.28480535856710143,0.896102652922081,0.40075365549486325,0.8220650794855874,0.901589438116056,0.965953847925191,1.0,-0.24825111679419096,-0.0630953873169738,0.8161587708313126,0.44860494669498785,-0.21756423563809446,0.9209378885300231,-0.45317371420610886,-0.47448011910641663,0.8831056995574971,0.7222564615659992,0.5575453408821844
IBM,0.8818952832441536,0.25912679651471704,0.4434814713150642,-0.09173471548507948,-0.3011843370429289,0.1988410346515837,-0.09729403700794713,-0.22287668040487335,-0.24825111679419096,1.0,0.6088977850853443,0.24668789688205153,-0.2211431928008577,0.25017924571791456,0.07313866337402294,0.8391757068160524,0.6344002373351434,-0.31202209212148124,0.23674244185741358,0.70002556539794
MDB,0.9410502803611087,0.6097473296573964,0.6694458336499002,0.24344520012053547,0.4608109855862258,0.4787561735414797,0.2040929147427953,0.01902376323763024,-0.0630953873169738,0.6088977850853443,1.0,0.5318125075148001,0.3326035296249521,0.08811093583495756,0.11684981153160919,0.8379927977513039,0.8255663741601209,-0.17353109008627415,0.5541648453824389,0.780252624168553
MSFT,0.1274009205820002,0.8490447694079398,0.25472124475981045,0.9632810484685199,0.7246016188913843,0.9856006447591058,0.9528101527170908,0.9055604727625008,0.8161587708313126,0.24668789688205153,0.5318125075148001,1.0,0.7254704776037322,0.31735307943627605,0.9323672577292033,0.156383594690559,0.2129531542764751,0.7482162874306744,0.9455677903714089,0.8838745424997679
NET,0.14903863464698444,0.3837022260626214,0.7757344393823682,0.7345014206667997,0.7413950998914368,0.7281293107694553,0.6098312995867188,0.5138384988099128,0.44860494669498785,-0.2211431928008577,0.3326035296249521,0.7254704776037322,1.0,0.14964055168535662,0.4302660012946042,-0.002664109870703834,0.5690313984502029,0.4122181094640083,0.766021333247274,0.27167347106660716
ORCL,0.7598122035944791,0.4561841938688943,0.4387754280265291,0.27725221516036386,-0.29399941180051153,0.3802752449334707,0.17484694787227045,0.23996638850273247,-0.21756423563809446,0.25017924571791456,0.08811093583495756,0.31735307943627605,0.14964055168535662,1.0,0.31722817816957505,0.6185513680055438,0.5814678923246249,0.4014935426694885,-0.2961513116509787,0.24785470742904797
RXT,-0.3694973648356667,0.8095700871943079,-0.13835724423390805,0.9247061504390578,0.3179561986159095,0.9393625683376801,0.9067495969774493,0.9461138454189781,0.9209378885300231,0.07313866337402294,0.11684981153160919,0.9323672577292033,0.4302660012946042,0.31722817816957505,1.0,-0.22163910627521166,-0.274402834598857,0.8825190875478178,0.8068675972634709,0.7574437756840995
SAP,0.8705197905736776,0.4472375426597341,0.565352207067315,-0.3504997749519628,0.15649391694159231,0.07786526293395582,-0.3845696015973811,-0.4684433373574826,-0.45317371420610886,0.8391757068160524,0.8379927977513039,0.156383594690559,-0.002664109870703834,0.6185513680055438,-0.22163910627521166,1.0,0.722520711834833,-0.5024630403667563,0.16376282371882056,0.7557030813010364
SNOW,0.7475365529271673,0.5453566622560542,0.8552567182397549,-0.19428308752991078,0.6420455768003275,0.21084183297730907,-0.3798545180660119,-0.46350383784223687,-0.47448011910641663,0.6344002373351434,0.8255663741601209,0.2129531542764751,0.5690313984502029,0.5814678923246249,-0.274402834598857,0.722520711834833,1.0,-0.5108505706566812,0.4426120170849181,0.548178079951215
TCEHY,-0.6105758363714755,0.6973288084869987,-0.32320671022662434,0.776708700060862,0.2912331995412668,0.7556775253224933,0.7620329325053272,0.8736396355612706,0.8831056995574971,-0.31202209212148124,-0.17353109008627415,0.7482162874306744,0.4122181094640083,0.4014935426694885,0.8825190875478178,-0.5024630403667563,-0.5108505706566812,1.0,0.4930835428451297,0.332884524534396
TWLO,0.14735669299094803,0.8845481606537109,0.39028035932292987,0.8950080245034706,0.8367242511243713,0.9621745510339595,0.9018500550616856,0.7944652737838657,0.7222564615659992,0.23674244185741358,0.5541648453824389,0.9455677903714089,0.766021333247274,-0.2961513116509787,0.8068675972634709,0.16376282371882056,0.4426120170849181,0.4930835428451297,1.0,0.8117125261797835
WDAY,0.7823369858351514,0.8453464048571433,0.3795569914380912,0.7702437865344511,0.2706403969050452,0.8666042169468917,0.7344622580696856,0.6382746263535325,0.5575453408821844,0.70002556539794,0.780252624168553,0.8838745424997679,0.27167347106660716,0.24785470742904797,0.7574437756840995,0.7557030813010364,0.548178079951215,0.332884524534396,0.8117125261797835,1.0
